movie,year,genre,color,language,country,rating,duration,budget
Before Midnight,2013,Drama,Color,English,USA,R,109,"$3,000,000.00 "
Being John Malkovich,1999,Comedy,Color,English,USA,R,112,"$13,000,000.00 "
The Social Network,2010,Biography,Color,English,USA,PG-13,120,"$40,000,000.00 "
Reservoir Dogs,1992,Crime,Color,English,USA,R,99,"$1,200,000.00 "
Platoon,1986,Drama,Color,English,UK,R,120,"$6,000,000.00 "
In the Shadow of the Moon,2007,Documentary,Black and White,English,UK,PG,100,"$2,000,000.00 "
Boyhood,2014,Drama,Color,English,USA,R,165,"$4,000,000.00 "
Bloody Sunday,2002,Drama,Color,English,UK,R,107,"$2,000,000.00 "
Hotel Rwanda,2004,Drama,Color,English,UK,PG-13,121,"$17,500,000.00 "
Mary Poppins,1964,Comedy,Color,English,USA,Approved,139,"$6,000,000.00 "
King Kong,2005,Action,Color,English,New Zealand,PG-13,201,"$207,000,000.00 "
King Kong,2005,Action,Color,English,New Zealand,PG-13,201,"$207,000,000.00 "
King Kong,2005,Action,Color,English,New Zealand,PG-13,201,"$207,000,000.00 "
How to Train Your Dragon,2010,Adventure,Color,English,USA,PG,98,"$165,000,000.00 "
There Will Be Blood,2007,Drama,Color,English,USA,R,158,"$25,000,000.00 "
The Princess Bride,1987,Adventure,Color,English,USA,PG,98,"$16,000,000.00 "
Her,2013,Drama,Color,English,USA,R,126,"$23,000,000.00 "
The Artist,2011,Comedy,Black and White,English,France,PG-13,100,"$15,000,000.00 "
Halloween,1978,Horror,Color,English,USA,R,101,"$300,000.00 "
Halloween,1978,Horror,Color,English,USA,R,101,"$300,000.00 "
Halloween,1978,Horror,Color,English,USA,R,101,"$300,000.00 "
American Graffiti,1973,Comedy,Color,English,USA,PG,112,"$777,000.00 "
Good Will Hunting,1997,Drama,Color,English,USA,R,126,"$10,000,000.00 "
"Monsters, Inc.",2001,Adventure,Color,English,USA,G,92,"$115,000,000.00 "
Hedwig and the Angry Inch,2001,Comedy,Color,English,USA,R,95,"$6,000,000.00 "
Winged Migration,2001,Documentary,Color,English,France,G,81,"$160,000,000.00 "
Young Frankenstein,1974,Comedy,Black and White,English,USA,PG,106,"$2,800,000.00 "
The Remains of the Day,1993,Drama,Color,English,UK,PG,134,"$11,500,000.00 "
Boyz n the Hood,1991,Crime,Color,English,USA,R,112,"$6,000,000.00 "
The Triplets of Belleville,2003,Animation,Color,French,France,PG-13,80,"$9,500,000.00 "
The Sweet Hereafter,1997,Drama,Color,English,Canada,R,112,"$5,000,000.00 "
Pinocchio,1940,Animation,Color,English,USA,Approved,88,"$2,600,000.00 "
Django Unchained,2012,Drama,Color,English,USA,R,165,"$100,000,000.00 "
Howl's Moving Castle,2004,Adventure,Color,Japanese,Japan,PG,119,"$24,000,000.00 "
The Grand Budapest Hotel,2014,Adventure,Color,English,USA,R,99,"$25,000,000.00 "
The Incredibles,2004,Action,Color,English,USA,PG,115,"$92,000,000.00 "
Dallas Buyers Club,2013,Biography,Color,English,USA,R,117,"$5,000,000.00 "
Rushmore,1998,Comedy,Color,English,USA,R,93,"$9,000,000.00 "
